Report generated on: 02-28-2022 17:10:03
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.7-2-WORL-TST.A","        Coal (Mst)","4055405.524820766","4089488.9706672677","4178378.207247716","4305545.988830616","4508954.458443326","4679905.317535358","4735241.403640756","4918474.183779455","5064963.921243886","5077777.547795049","4983905.250124201","4866062.460720578","4750094.881654837","4755161.135197453","4784828.137422445","4921564.685434877","5023783.990095242","4951104.788139121","4923958.528201574","4940566.010101077","5195997.255295631","5266258.172263","5397999.438302524","5826949.360319626","6317446.883696253","6721048.870718671","7092667.864896384","7435460.708570104","7588728.107407082","7653732.212314324","8225521.327846817","8695152.214390997","8944466.167510515","9015857.649724783","8902125.587998712","8622174.644198416","8395255.275348999","8478105.292035712","8597609.383811025","8466229.001877926","8112818.879811633"
"INTL.11-2-WORL-TST.A","            Anthracite (Mst)","217696.53125454712","218051.3708896182","224885.77792881924","230925.79571953096","237887.87610294175","248019.45575011964","253321.86994362372","258888.17971986957","268633.54598347365","270057.5859554962","265088.6111633942","258030.4365452324","242739.04524120208","244148.35344336895","243225.50260742576","256341.69843171112","262984.2316567158","257020.68479551072","250204.18418496381","250880.18102615396","264114.4529269014","268478.64958023565","282354.87975398917","320208.1788972837","371742.7932980335","407372.019273477","446574.16864084423","473954.4823637839","483566.5678620583","514990.8070276769","561280.4710111073","610099.2820122145","635086.7160319377","640066.8361128422","617635.614668976","598394.6104813529","578618.5187719807","568245.3140162355","576573.9572899881","567560.5135711943","569087.7322369367"
"INTL.130-2-WORL-TST.A","            Metallurgical coal (Mst)","605796.5869089544","595863.6898837746","585636.8114289439","578921.0610743727","617869.4826356481","637206.9038565386","640795.4254177898","653501.6075012154","683446.5143151985","693230.3242428534","693919.5690083333","686061.9474794586","664207.624890274","651458.3345772243","640686.1454703814","646867.7900065336","650808.4547473319","643072.4754129257","621501.2600476734","610811.9415847659","629555.161745579","639559.8883310908","641985.8462879623","706259.1345795698","769875.1828017968","816802.0572666354","866152.2150671503","922536.9474071953","960068.5421919457","1006911.3126208595","1112099.9267304887","1170025.690214023","1236541.448018754","1271580.1362082858","1256160.8668636666","1232341.0936159457","1190022.814301642","1138835.8876417938","1056523.553896689","1066026.7251115937","1028595.7577332362"
"INTL.12-2-WORL-TST.A","            Bituminous (Mst)","1856087.4996053283","1870432.9263516502","1916114.8766632874","2010851.739926706","2077393.5255674352","2137869.544097214","2159662.440416322","2271916.683694564","2330397.1464200993","2285799.68801153","2280804.883075805","2259212.493264983","2185277.349525924","2209691.02885027","2230588.7558586276","2292034.77037092","2343556.651116693","2269928.345807702","2275215.562147646","2281997.52638292","2423273.498313333","2422549.4039130867","2520979.7965692696","2771810.414889685","3040422.5065220655","3310794.718931614","3544403.3204916813","3711987.828569038","3725639.512339587","3717756.368949806","4060985.963215726","4319843.277535575","4455243.088077361","4484165.870731232","4413603.090308019","4245266.662339318","4060602.5412904285","4200881.275665818","4234411.744485323","4206235.4869100945","4148008.556878665"
"INTL.119-2-WORL-TST.A","            Subbituminous (Mst)","349548.53997916984","368415.77867282653","383120.2592308401","388051.11450984987","422775.5690510543","458096.21602537157","462120.98984741804","493921.31539992616","524112.41623842285","558961.0262015876","574811.7845180322","588802.5692212889","598264.0325666895","624410.2752677709","667395.2955604264","721190.102172906","758912.4752594093","790381.1967682958","796562.1643660192","852647.1242559083","898051.8895384121","943422.5822781434","960096.076558999","1006782.1743723374","1087905.9266600283","1120769.9178473616","1146363.9863175568","1204885.881729793","1276050.0574950643","1277068.905911358","1322355.317972002","1336082.2135233716","1344758.6374516815","1386454.9396011308","1431401.5531366912","1374962.043419974","1397555.1776659966","1392140.2086710166","1540103.969634495","1495347.8614666613","1343062.6952693635"
"INTL.14-2-WORL-TST.A","            Lignite (Mst)","1026276.3670727662","1036725.2048693985","1068620.4819958252","1096796.277600156","1153028.005086247","1198713.1978061143","1219340.6780156025","1240246.3974638798","1258374.2982866915","1269728.9233835817","1169280.4023586367","1073955.0142096155","1059606.829430747","1025453.1430588184","1002932.4379255843","1005130.324452806","1007522.1773150918","990702.0853546861","980475.3574552714","944229.2368513297","981002.2527714054","992247.6481604435","992582.8391323038","1021889.4575807495","1047500.4744143293","1065310.1573995834","1089174.174379151","1122095.5685002941","1143403.4275184267","1137004.8178046243","1168799.648917493","1259101.7511058128","1272836.2779307803","1233589.8670712926","1183324.4630213606","1171210.234341826","1168456.2233189521","1178002.6060408482","1189996.1585045292","1131058.4148183817","1024064.1376934317"
"INTL.21-2-WORL-TST.A","        Metallurgical coke (Mst)","417932.9783534099","410159.0367273986","378280.1618924499","379301.29179943027","395900.2737133399","400292.1931163096","390480.6090236765","395514.45069646876","409184.86905428657","409625.30678508093","394945.1446164468","371215.59409154084","364059.7369821139","358911.47182624764","354581.8375093126","375895.1771198248","381577.04221751826","378684.335728946","363038.11228529323","356773.04296502273","374925.7169149185","380555.14923975675","383711.2008162405","417592.2686953386","452763.8458828821","515969.98761464097","555783.3452314122","577310.7339785129","576253.0493418749","564861.5419847768","618115.0945227969","670582.4818564688","681331.6666187678","753178.760391974","773271.7792368227","737739.3222543315","749768.9142598086","730965.0344885468","739052.158035982","762966.5191866044","751276.5621397865"
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.7-2-AFG-TST.A","        Coal (Mst)","131.17505","137.78892","159.83515","159.83515","163.14208","166.44902","176.36982","184.086","152.11897","139.99354","115.74269","103.61727","8.81849","7.71618","6.61387","5.51156","3.30693","2.20462","2.20462","1.10231","1.10231","28.6601","23.14854","38.5809","37.47859","36.37627","38.5809","267.86166","382.50204","551.15568","799.17574","1631.4188","1366.8644","1484.81157","1672.645194","1504.65315","1871.72238","2415.16121","2695.14795","2357.84109","2310.2834139078"
"INTL.11-2-AFG-TST.A","            Anthracite (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
