Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","04/03/2022 09:23"
"Last updated:","04/03/2022 09:23"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:",Solutions
"Data table contains the following:",Solutions
"Content type","Total flow figures"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=M0egx9
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Solution types included","RET,RDP,RST,NAT"
Years:
Origin:
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Resettlement arrivals"
1959,-,-,Canada,CAN,3043
1960,-,-,Canada,CAN,2325
1961,-,-,Canada,CAN,1811
1962,-,-,Canada,CAN,1728
1963,-,-,Canada,CAN,2021
1964,-,-,Canada,CAN,2270
1965,-,-,Canada,CAN,2131
1966,-,-,Canada,CAN,2058
1967,-,-,Canada,CAN,1497
1968,-,-,Canada,CAN,9978
1969,-,-,Canada,CAN,3599
1970,-,-,Canada,CAN,1368
1971,-,-,Canada,CAN,732
1971,-,-,Belgium,BEL,21
1972,-,-,Canada,CAN,5231
1972,-,-,Belgium,BEL,27
1973,-,-,Canada,CAN,2398
1973,-,-,Belgium,BEL,25
1974,-,-,Canada,CAN,1651
1974,-,-,Belgium,BEL,11
1975,-,-,Canada,CAN,6285
1975,-,-,Belgium,BEL,5
1976,-,-,Canada,CAN,5583
1976,-,-,Netherlands,NLD,667
1976,-,-,Australia,AUS,4374
1976,-,-,Belgium,BEL,7
1977,-,-,Canada,CAN,3621
1977,-,-,Australia,AUS,8124
1977,-,-,Belgium,BEL,19
1978,-,-,Canada,CAN,2894
1978,-,-,Netherlands,NLD,417
1978,-,-,Australia,AUS,9597
1978,-,-,Belgium,BEL,25
1979,-,-,Canada,CAN,27662
1979,-,-,Ireland,IRL,212
1979,-,-,Australia,AUS,13450
1979,-,-,Finland,FIN,101
