Country,Our World In Data Name
Algeria,Algeria
Angola,Angola
Argentina,Argentina
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahrain,Bahrain
Bangladesh,Bangladesh
Belarus,Belarus
Belgium,Belgium
Bolivia,Bolivia
Brazil,Brazil
Brunei,Brunei
Bulgaria,Bulgaria
Canada,Canada
Chad,Chad
Chile,Chile
China,China
China Hong Kong SAR,Hong Kong
Colombia,Colombia
Croatia,Croatia
Cuba,Cuba
Curacao,Curacao
Cyprus,Cyprus
Czech Republic,Czechia
Democratic Republic of Congo,Democratic Republic of Congo
Denmark,Denmark
Ecuador,Ecuador
Egypt,Egypt
Equatorial Guinea,Equatorial Guinea
Estonia,Estonia
Finland,Finland
France,France
Gabon,Gabon
Germany,Germany
Greece,Greece
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran,Iran
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy,Italy
Japan,Japan
Kazakhstan,Kazakhstan
Kuwait,Kuwait
Latvia,Latvia
Libya,Libya
Lithuania,Lithuania
Luxembourg,Luxembourg
Madagascar,Madagascar
Malaysia,Malaysia
Mexico,Mexico
Mongolia,Mongolia
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Netherlands,Netherlands
Netherlands Antilles,Netherlands Antilles
New Caledonia,New Caledonia
New Zealand,New Zealand
Nigeria,Nigeria
North Macedonia,North Macedonia
Norway,Norway
Oman,Oman
Pakistan,Pakistan
Papua New Guinea,Papua New Guinea
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Qatar,Qatar
Republic of Congo,Congo
Romania,Romania
Russian Federation,Russia
Saudi Arabia,Saudi Arabia
Serbia,Serbia
Singapore,Singapore
Slovakia,Slovakia
Slovenia,Slovenia
South Africa,South Africa
South Korea,South Korea
South Sudan,South Sudan
Spain,Spain
Sri Lanka,Sri Lanka
Sudan,Sudan
Sweden,Sweden
Switzerland,Switzerland
Syria,Syria
Taiwan,Taiwan
Thailand,Thailand
Total Africa,Africa
Total Asia Pacific,Asia Pacific
Total CIS,CIS
Total Central America,Central America
Total Eastern Africa,Eastern Africa
Total Europe,Europe
Total European Union,European Union
Total Middle Africa,Middle Africa
Total Middle East,Middle East
Total Non-OECD,Non-OECD
Total North America,North America
Total OECD,OECD
Total S. & Cent. America,South & Central America
Total Western Africa,Western Africa
Total World,World
Trinidad & Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
US,United States
USSR,USSR
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
Uzbekistan,Uzbekistan
Venezuela,Venezuela
Vietnam,Vietnam
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
