country,value,year
Canada,3.29219898989899,2017
Mexico,1.1865061111111077,2017
US,78.05656565656565,2017
Total North America,82.53527075757576,2017
Argentina,0.016416999999999998,2017
Brazil,0.8318134013171892,2017
Chile,3.89594831461,2017
Colombia,0.0,2017
Ecuador,0.03748,2017
Peru,0.287200343,2017
Trinidad & Tobago,0.003989071038251366,2017
Venezuela,0.010008088916332198,2017
Other S. & Cent. America,2.3727539125155377,2017
Total S. & Cent. America,7.455610131397311,2017
Austria,1.268971,2017
Belgium,3.2876,2017
Czech Republic,2.193368,2017
Finland,0.0436,2017
France,9.162760492672255,2017
Germany,39.401,2017
Greece,3.9914769999999997,2017
Hungary,0.349,2017
Italy,24.3777,2017
Netherlands,2.204346,2017
Norway,0.04075357418982846,2017
Poland,0.165,2017
Portugal,0.992,2017
Romania,1.856,2017
Spain,14.320671169999997,2017
Sweden,0.23,2017
Switzerland,1.683,2017
Turkey,2.8893,2017
Ukraine,0.7580700000000001,2017
United Kingdom,11.524870210020913,2017
Other Europe,0.3847307897235005,2017
Total Europe,124.54237865763085,2017
Azerbaijan,0.037200000000000004,2017
Belarus,0.089,2017
Kazakhstan,0.0896955,2017
Russian Federation,0.5343,2017
Turkmenistan,0.006959999999999999,2017
Uzbekistan,0.0,2017
Other CIS,0.01014375,2017
Total CIS,0.76729925,2017
Iran,0.01464088672648437,2017
Iraq,0.05714344262295081,2017
Israel,1.5950948703959391,2017
Kuwait,0.08814314831305035,2017
Oman,0.00870887721433953,2017
Qatar,0.00942383386338858,2017
Saudi Arabia,0.14185938895295414,2017
United Arab Emirates,0.5323733155332507,2017
Other Middle East,1.9625015459274922,2017
Total Middle East,4.409889309549849,2017
Algeria,0.504,2017
Egypt,0.2627718579234973,2017
Morocco,0.4153,2017
South Africa,4.276231838975297,2017
Other Africa,1.1522677615542902,2017
Total Africa,6.610571458453084,2017
Australia,8.955110000000001,2017
Bangladesh,0.26500566251999375,2017
China,117.8,2017
China Hong Kong SAR,0.001059,2017
India,21.522209999999998,2017
Indonesia,0.02905,2017
Japan,61.834978157950005,2017
Malaysia,0.3629332219506369,2017
New Zealand,0.07542086109090812,2017
Pakistan,1.059174913853807,2017
Philippines,1.201152,2017
Singapore,0.22720738777887628,2017
South Korea,7.0562190000000005,2017
Sri Lanka,0.14872569182950118,2017
Taiwan,1.6916,2017
Thailand,4.480862480176292,2017
Vietnam,0.008881934829374036,2017
Other Asia Pacific,0.4770475792466155,2017
Total Asia Pacific,227.19663789122598,2017
Total World,453.51765745583276,2017
Canada,3.546250899663102,2018
Mexico,2.2428,2018
US,97.11818181818182,2018
Total North America,102.90723271784493,2018
Argentina,0.108128528,2018
Brazil,3.137078404384737,2018
Chile,5.118720829440002,2018
Colombia,0.01199982099,2018
Ecuador,0.03799153806500003,2018
Peru,0.7451927151900001,2018
Trinidad & Tobago,0.003989071038251366,2018
Venezuela,0.010008088916332198,2018
Other S. & Cent. America,3.2584178159469235,2018
Total S. & Cent. America,12.431526811971247,2018
Austria,1.5786414726072864,2018
Belgium,3.971724223798627,2018
Czech Republic,2.3386,2018
Finland,0.16219999999999998,2018
France,10.158712720136633,2018
Germany,46.164,2018
Greece,3.7910920024070287,2018
Hungary,0.5888760563380282,2018
Italy,23.230729062747223,2018
Netherlands,3.2011999999999996,2018
Norway,0.0644885468674241,2018
Poland,0.299,2018
Portugal,1.02,2018
Romania,1.674,2018
Spain,12.520572726049416,2018
Sweden,0.37310015104925287,2018
Switzerland,1.9573714285714285,2018
Turkey,7.890694077732071,2018
Ukraine,1.2864934572564088,2018
United Kingdom,12.921815351447949,2018
Other Europe,0.44181056459592755,2018
Total Europe,139.0520627167886,2018
Azerbaijan,0.039259999999999996,2018
Belarus,0.13448596750369277,2018
Kazakhstan,0.11469040000000001,2018
Russian Federation,0.5710599999999999,2018
Turkmenistan,0.00696,2018
Uzbekistan,0.0,2018
Other CIS,0.01484375,2018
Total CIS,0.8813001175036926,2018
Iran,0.037698887058597114,2018
Iraq,0.05714344262295081,2018
Israel,1.7932305148116192,2018
Kuwait,0.08814314831305035,2018
Oman,0.013718674495336572,2018
Qatar,0.00942383386338858,2018
Saudi Arabia,0.15487178337038912,2018
United Arab Emirates,0.9468834996181202,2018
Other Middle East,3.0200398018030468,2018
Total Middle East,6.121153585956498,2018
Algeria,0.603,2018
Egypt,1.0357390710382515,2018
Morocco,0.9502,2018
South Africa,4.935234819333646,2018
Other Africa,1.504915108827464,2018
Total Africa,9.02908899919936,2018
Australia,12.081099000000002,2018
Bangladesh,0.29920835938368284,2018
China,177.5,2018
China Hong Kong SAR,0.000961,2018
India,30.732403179000002,2018
Indonesia,0.01836,2018
Japan,71.68833589829,2018
Malaysia,0.4596929332572404,2018
New Zealand,0.09824429236363502,2018
Pakistan,2.1233222597739747,2018
Philippines,1.249117,2018
Singapore,0.28398255466396893,2018
South Korea,9.349876912081148,2018
Sri Lanka,0.20533781063224701,2018
Taiwan,2.733,2018
Thailand,4.7196566547657275,2018
Vietnam,0.08023150794778508,2018
Other Asia Pacific,0.5857235293909122,2018
Total Asia Pacific,314.20855289155037,2018
Total World,584.6309178408148,2018
