country,year,value
Total World,2000,33422.0392
Total World,2001,23258.741
Total World,2002,15233.9242
Total World,2003,23368.971999999998
Total World,2004,52756.556599999996
Total World,2005,35185.7352
Total World,2006,37963.556399999994
Total World,2007,67351.141
Total World,2008,86002.22619999999
Total World,2009,39374.513199999994
Total World,2010,45966.327
Total World,2011,39661.11379999999
Total World,2012,31019.003399999998
Total World,2013,27694.5380434783
Total World,2014,31234.095890411
Total World,2015,28611.8493150685
Total World,2016,25672.9781420765
Total World,2017,56041.82
Total World,2018,72922.62
