Year,Entity,imagenet_top1
2012,With extra training data,0.633
2012,Without extra training data,0.619
2013,Without extra training data,0.663
2014,Without extra training data,0.745
2015,Without extra training data,0.788
2016,Without extra training data,0.823
2017,With extra training data,0.792
2017,Without extra training data,0.829
2018,With extra training data,0.854
2018,Without extra training data,0.844
2019,With extra training data,0.8754
2019,Without extra training data,0.855
2020,With extra training data,0.8861
2020,Without extra training data,0.858
2021,With extra training data,0.902
2021,Without extra training data,0.865
