Report generated on: 03-01-2022 09:39:51
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","crude oil including lease condensate exports (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.57-4-WORL-TBPD.A","    World","30580.206","26689.791","23403.535","22394.084","22513.468","21172.463","23572.019","23057.166","24872.595","26026.891","27322.97","27517.625","30667.877","31648.812","32025.47","32786.43","33936.804","35575.321","37039.659","36108.586","38292.04","37834.404","37046.475","39272.271","42181.621","43044.94","42758.848","42961.73","42394.316","40613.107","41114.972","41822.211","41930.047","41167.84","40639.786","42275.206","45375.735","45690.86","46656.13","",""
"INTL.57-4-AFG-TBPD.A","        Afghanistan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.848","0.003","1.714","0.86","0.006","0.082","2.024","3.966","0.597","0","0","0","0.004","0","0","0","0","0","0","0","0","0","0","",""
"INTL.57-4-ALB-TBPD.A","        Albania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.139","2.73","3.273","6.112","9.005","12.603","17.305","21.102","19.113","17.847","15.998","8.816","10.532","",""
"INTL.57-4-DZA-TBPD.A","        Algeria","713.534","521.8","283.315","289.611","274.921","312.696","272.087","247.156","244","280.5","300.797","344.7","279.4","308","324.637","323.546","381.342","362.643","404.91","414.6","449.359","427.113","535.046","723.86","893.2","967.61","947.24","1085.003","942.283","835.547","804.54","844.35","760.19","666.68","580.739","598.1","695.007","656.203","633.519","",""
"INTL.57-4-ASM-TBPD.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"INTL.57-4-AGO-TBPD.A","        Angola","332.8","328.3","345.3","359.9","366.4","363.4","352.3","342.4","422.208","417.802","439","459.9","508.4","464.7","500.6","566.7","621.8","660.7","698.083","732.2","748.6","693.9","849.3","823","940.9","1113.971","1262.84","1591.176","1634.82","1770.41","1710.69","1585.429","1663.25","1677.064","1632.16","1745.524","1658.258","1517.708","1367.399","",""
"INTL.57-4-ATA-TBPD.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"INTL.57-4-ATG-TBPD.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"INTL.57-4-ARG-TBPD.A","        Argentina","0","0","0","0","0","8.993","1.97","1.99","7.998","11.899","16.132","24.832","52.922","86.884","204.178","279.475","325.589","333.645","331.207","269.526","277.953","288.058","266.834","224.407","175.815","149.286","87.683","56.999","60.2","91.292","55.809","60.48","70.21","48.65","48.51","42.44","45.366","28.89","59.067","",""
