year,country,value
2018,China,13.4
2019,China,13.205
2020,China,12.982000000000001
2021,China,12.727
2022,China,12.408
2023,China,12.12
2024,China,11.79
2025,China,11.427999999999999
2026,China,11.027000000000001
2027,China,10.606
2028,China,10.149
2029,China,9.68
2030,China,9.234
2018,North Korea,80.657
2019,North Korea,79.83800000000001
2020,North Korea,79.061
2021,North Korea,78.355
2022,North Korea,77.65100000000001
2023,North Korea,76.87100000000001
2024,North Korea,76.193
2025,North Korea,75.532
2026,North Korea,75.112
2027,North Korea,74.962
2028,North Korea,75.047
2029,North Korea,75.25
2030,North Korea,75.312
2018,Taiwan,15.243
2019,Taiwan,15.3
2020,Taiwan,15.385
2021,Taiwan,15.432
2022,Taiwan,15.505999999999998
2023,Taiwan,15.585
2024,Taiwan,15.65
2025,Taiwan,15.752
2026,Taiwan,15.873
2027,Taiwan,16.009
2028,Taiwan,16.133
2029,Taiwan,16.256
2030,Taiwan,16.365
2018,Cambodia,112.439
2019,Cambodia,113.432
2020,Cambodia,114.87
2021,Cambodia,115.868
2022,Cambodia,117.00399999999999
2023,Cambodia,118.323
2024,Cambodia,119.89399999999999
2025,Cambodia,121.50299999999999
2026,Cambodia,122.771
2027,Cambodia,123.56700000000001
2028,Cambodia,124.00299999999999
2029,Cambodia,123.97
2030,Cambodia,123.01
2018,Indonesia,161.965
2019,Indonesia,159.536
2020,Indonesia,157.165
2021,Indonesia,154.173
2022,Indonesia,150.786
2023,Indonesia,147.041
2024,Indonesia,143.037
2025,Indonesia,138.909
2026,Indonesia,134.81
2027,Indonesia,130.924
2028,Indonesia,126.90700000000001
2029,Indonesia,123.01
2030,Indonesia,119.179
2018,Laos,172.521
2019,Laos,168.23
2020,Laos,164.40200000000002
2021,Laos,160.83
2022,Laos,157.701
2023,Laos,155.024
2024,Laos,152.41899999999998
2025,Laos,149.939
2026,Laos,147.458
2027,Laos,144.679
2028,Laos,141.836
2029,Laos,139.00799999999998
2030,Laos,136.107
2018,Malaysia,56.028999999999996
2019,Malaysia,55.133
2020,Malaysia,54.353
2021,Malaysia,53.542
2022,Malaysia,52.818999999999996
2023,Malaysia,52.165
2024,Malaysia,51.583999999999996
2025,Malaysia,51.147
2026,Malaysia,50.751000000000005
2027,Malaysia,50.281000000000006
2028,Malaysia,49.808
2029,Malaysia,49.406000000000006
2030,Malaysia,49.001999999999995
2018,Maldives,82.38799999999999
2019,Maldives,86.26899999999999
2020,Maldives,90.309
2021,Maldives,94.103
2022,Maldives,97.74
2023,Maldives,101.02799999999999
2024,Maldives,103.947
2025,Maldives,106.772
2026,Maldives,109.321
2027,Maldives,111.39
2028,Maldives,113.725
2029,Maldives,115.572
2030,Maldives,117.374
2018,Myanmar,202.567
2019,Myanmar,193.22799999999998
2020,Myanmar,184.003
2021,Myanmar,174.988
2022,Myanmar,166.308
2023,Myanmar,158.12
2024,Myanmar,150.384
2025,Myanmar,143.134
2026,Myanmar,136.504
2027,Myanmar,130.08100000000002
2028,Myanmar,124.12200000000001
2029,Myanmar,118.413
2030,Myanmar,113.11200000000001
2018,Philippines,81.861
2019,Philippines,80.663
2020,Philippines,79.479
2021,Philippines,78.437
2022,Philippines,77.569
2023,Philippines,76.844
2024,Philippines,76.116
2025,Philippines,75.446
2026,Philippines,74.744
2027,Philippines,74.249
2028,Philippines,73.71300000000001
2029,Philippines,73.195
2030,Philippines,72.668
2018,Sri Lanka,29.136
2019,Sri Lanka,28.116999999999997
2020,Sri Lanka,27.115
2021,Sri Lanka,26.177
2022,Sri Lanka,25.311999999999998
2023,Sri Lanka,24.43
2024,Sri Lanka,23.618000000000002
2025,Sri Lanka,22.804000000000002
2026,Sri Lanka,21.994
2027,Sri Lanka,21.215
2028,Sri Lanka,20.421
2029,Sri Lanka,19.680999999999997
2030,Sri Lanka,18.955
2018,Thailand,40.926
2019,Thailand,40.506
2020,Thailand,40.063
2021,Thailand,39.635
2022,Thailand,39.145
2023,Thailand,38.635
2024,Thailand,38.31
2025,Thailand,37.882
2026,Thailand,37.585
2027,Thailand,37.466
2028,Thailand,37.209
2029,Thailand,36.931
2030,Thailand,36.584
2018,Timor-Leste,240.49400000000003
2019,Timor-Leste,238.49900000000002
2020,Timor-Leste,236.15900000000002
2021,Timor-Leste,233.916
2022,Timor-Leste,231.372
2023,Timor-Leste,228.06799999999998
2024,Timor-Leste,224.57
2025,Timor-Leste,221.076
2026,Timor-Leste,217.794
2027,Timor-Leste,215.30200000000002
2028,Timor-Leste,213.43400000000003
2029,Timor-Leste,212.233
2030,Timor-Leste,211.011
2018,Vietnam,14.017999999999999
2019,Vietnam,13.992
2020,Vietnam,13.989
2021,Vietnam,13.995999999999999
2022,Vietnam,13.998
2023,Vietnam,13.975
2024,Vietnam,13.912
2025,Vietnam,13.855
2026,Vietnam,13.715
2027,Vietnam,13.466
2028,Vietnam,13.200999999999999
2029,Vietnam,12.85
2030,Vietnam,12.485
2018,Fiji,64.33
2019,Fiji,64.459
2020,Fiji,64.624
2021,Fiji,64.608
2022,Fiji,64.497
2023,Fiji,64.477
2024,Fiji,64.342
2025,Fiji,64.116
2026,Fiji,63.672
2027,Fiji,63.122
2028,Fiji,62.283
2029,Fiji,61.583999999999996
2030,Fiji,60.901
2018,Kiribati,228.945
2019,Kiribati,228.428
2020,Kiribati,228.665
2021,Kiribati,229.486
2022,Kiribati,231.00799999999998
2023,Kiribati,233.298
2024,Kiribati,236.132
2025,Kiribati,238.584
2026,Kiribati,240.55200000000002
2027,Kiribati,241.905
2028,Kiribati,242.292
2029,Kiribati,242.426
2030,Kiribati,242.41299999999998
2018,Marshall Islands,220.0
2019,Marshall Islands,214.93599999999998
2020,Marshall Islands,209.824
2021,Marshall Islands,204.937
2022,Marshall Islands,199.888
2023,Marshall Islands,195.35299999999998
2024,Marshall Islands,190.769
2025,Marshall Islands,186.74
2026,Marshall Islands,182.88299999999998
2027,Marshall Islands,179.62400000000002
2028,Marshall Islands,176.58700000000002
2029,Marshall Islands,173.899
2030,Marshall Islands,171.549
2018,Federated States of Micronesia,151.153
2019,Federated States of Micronesia,151.862
2020,Federated States of Micronesia,152.845
2021,Federated States of Micronesia,155.273
2022,Federated States of Micronesia,157.906
2023,Federated States of Micronesia,161.082
2024,Federated States of Micronesia,164.68599999999998
2025,Federated States of Micronesia,168.544
2026,Federated States of Micronesia,172.888
2027,Federated States of Micronesia,178.25900000000001
2028,Federated States of Micronesia,183.896
2029,Federated States of Micronesia,189.489
2030,Federated States of Micronesia,196.074
2018,Papua New Guinea,486.539
2019,Papua New Guinea,478.38800000000003
2020,Papua New Guinea,470.63300000000004
2021,Papua New Guinea,463.494
2022,Papua New Guinea,456.68199999999996
2023,Papua New Guinea,449.82300000000004
2024,Papua New Guinea,443.56199999999995
2025,Papua New Guinea,437.564
2026,Papua New Guinea,431.711
2027,Papua New Guinea,426.593
2028,Papua New Guinea,421.586
2029,Papua New Guinea,416.73199999999997
2030,Papua New Guinea,412.455
2018,Samoa,30.668000000000003
2019,Samoa,30.589000000000002
2020,Samoa,30.454
2021,Samoa,30.325
2022,Samoa,30.23
2023,Samoa,30.121
2024,Samoa,30.026
2025,Samoa,29.915
2026,Samoa,29.796
2027,Samoa,29.684
2028,Samoa,29.526999999999997
2029,Samoa,29.351
2030,Samoa,29.206
2018,Solomon Islands,145.701
2019,Solomon Islands,143.683
2020,Solomon Islands,141.82
2021,Solomon Islands,139.955
2022,Solomon Islands,137.958
2023,Solomon Islands,135.911
2024,Solomon Islands,133.743
2025,Solomon Islands,131.65
2026,Solomon Islands,129.77100000000002
2027,Solomon Islands,127.92399999999999
2028,Solomon Islands,126.184
2029,Solomon Islands,124.537
2030,Solomon Islands,123.148
2018,Tonga,112.279
2019,Tonga,111.315
2020,Tonga,110.164
2021,Tonga,108.973
2022,Tonga,107.749
2023,Tonga,106.571
2024,Tonga,105.351
2025,Tonga,104.29799999999999
2026,Tonga,103.415
2027,Tonga,103.009
2028,Tonga,102.38600000000001
2029,Tonga,101.61
2030,Tonga,100.78
2018,Vanuatu,110.792
2019,Vanuatu,110.477
2020,Vanuatu,110.145
2021,Vanuatu,109.762
2022,Vanuatu,109.23200000000001
2023,Vanuatu,108.71799999999999
2024,Vanuatu,108.311
2025,Vanuatu,107.844
2026,Vanuatu,107.12899999999999
2027,Vanuatu,106.257
2028,Vanuatu,105.37200000000001
2029,Vanuatu,104.469
2030,Vanuatu,103.546
2018,Armenia,24.534000000000002
2019,Armenia,25.185
2020,Armenia,25.816
2021,Armenia,26.483
2022,Armenia,27.103
