year,country,value
2018,China,96.096
2019,China,96.262
2020,China,96.412
2021,China,96.544
2022,China,96.656
2023,China,96.751
2024,China,96.837
2025,China,96.92200000000001
2026,China,97.012
2027,China,97.11
2028,China,97.211
2029,China,97.31200000000001
2030,China,97.40899999999999
2018,North Korea,79.165
2019,North Korea,79.297
2020,North Korea,79.446
2021,North Korea,79.617
2022,North Korea,79.819
2023,North Korea,80.048
2024,North Korea,80.285
2025,North Korea,80.507
2026,North Korea,80.693
2027,North Korea,80.822
2028,North Korea,80.90100000000001
2029,North Korea,80.944
2030,North Korea,80.965
2018,Taiwan,96.04299999999999
2019,Taiwan,96.17299999999999
2020,Taiwan,96.3
2021,Taiwan,96.425
2022,Taiwan,96.55
2023,Taiwan,96.67299999999999
2024,Taiwan,96.787
2025,Taiwan,96.883
2026,Taiwan,96.95299999999999
2027,Taiwan,97.005
2028,Taiwan,97.065
2029,Taiwan,97.13799999999999
2030,Taiwan,97.20299999999999
2018,Cambodia,59.805
2019,Cambodia,60.894
2020,Cambodia,61.948
2021,Cambodia,62.956
2022,Cambodia,63.89
2023,Cambodia,64.753
2024,Cambodia,65.574
2025,Cambodia,66.37899999999999
2026,Cambodia,67.193
2027,Cambodia,67.97
2028,Cambodia,68.681
2029,Cambodia,69.363
2030,Cambodia,70.058
2018,Indonesia,77.98
2019,Indonesia,78.313
2020,Indonesia,78.645
2021,Indonesia,78.97800000000001
2022,Indonesia,79.31
2023,Indonesia,79.642
2024,Indonesia,79.97399999999999
2025,Indonesia,80.307
2026,Indonesia,80.639
2027,Indonesia,80.973
2028,Indonesia,81.308
2029,Indonesia,81.642
2030,Indonesia,81.97399999999999
2018,Laos,65.28699999999999
2019,Laos,66.251
2020,Laos,67.189
2021,Laos,68.092
2022,Laos,68.96600000000001
2023,Laos,69.817
2024,Laos,70.64
2025,Laos,71.431
2026,Laos,72.187
2027,Laos,72.895
2028,Laos,73.558
2029,Laos,74.194
2030,Laos,74.821
2018,Malaysia,77.439
2019,Malaysia,78.11399999999999
2020,Malaysia,78.774
2021,Malaysia,79.418
2022,Malaysia,80.046
2023,Malaysia,80.658
2024,Malaysia,81.252
2025,Malaysia,81.829
2026,Malaysia,82.389
2027,Malaysia,82.93
2028,Malaysia,83.45299999999999
2029,Malaysia,83.96
2030,Malaysia,84.45299999999999
2018,Maldives,55.511
2019,Maldives,56.605
2020,Maldives,57.693000000000005
2021,Maldives,58.762
2022,Maldives,59.823
2023,Maldives,60.883
2024,Maldives,61.93
2025,Maldives,62.95399999999999
2026,Maldives,63.943999999999996
2027,Maldives,64.9
2028,Maldives,65.828
2029,Maldives,66.73
2030,Maldives,67.60600000000001
2018,Myanmar,77.828
2019,Myanmar,78.612
2020,Myanmar,79.378
2021,Myanmar,80.126
2022,Myanmar,80.857
2023,Myanmar,81.571
2024,Myanmar,82.266
2025,Myanmar,82.94
2026,Myanmar,83.59100000000001
2027,Myanmar,84.223
2028,Myanmar,84.837
2029,Myanmar,85.43
2030,Myanmar,86.001
2018,Philippines,58.016999999999996
2019,Philippines,58.753
2020,Philippines,59.485
2021,Philippines,60.207
2022,Philippines,60.92
2023,Philippines,61.625
2024,Philippines,62.321000000000005
2025,Philippines,63.006
2026,Philippines,63.678000000000004
2027,Philippines,64.337
2028,Philippines,64.983
2029,Philippines,65.617
2030,Philippines,66.241
2018,Sri Lanka,64.609
2019,Sri Lanka,65.41199999999999
2020,Sri Lanka,66.205
2021,Sri Lanka,66.992
2022,Sri Lanka,67.76899999999999
2023,Sri Lanka,68.536
2024,Sri Lanka,69.298
2025,Sri Lanka,70.058
2026,Sri Lanka,70.82
2027,Sri Lanka,71.58800000000001
2028,Sri Lanka,72.358
2029,Sri Lanka,73.124
2030,Sri Lanka,73.876
2018,Thailand,89.706
2019,Thailand,89.91799999999999
2020,Thailand,90.126
2021,Thailand,90.331
2022,Thailand,90.531
2023,Thailand,90.728
2024,Thailand,90.92200000000001
2025,Thailand,91.113
2026,Thailand,91.303
2027,Thailand,91.491
2028,Thailand,91.678
2029,Thailand,91.86200000000001
2030,Thailand,92.04299999999999
