year,country,value
2018,China,18.085
2019,China,18.789
2020,China,19.514
2021,China,20.258
2022,China,21.01
2023,China,21.783
2024,China,22.576
2025,China,23.392
2026,China,24.229
2027,China,25.086
2028,China,25.965
2029,China,26.862
2030,China,27.776999999999997
2018,North Korea,7.621
2019,North Korea,7.643
2020,North Korea,7.667999999999999
2021,North Korea,7.696000000000001
2022,North Korea,7.72
2023,North Korea,7.745
2024,North Korea,7.771
2025,North Korea,7.8
2026,North Korea,7.83
2027,North Korea,7.862
2028,North Korea,7.896
2029,North Korea,7.931
2030,North Korea,7.968
2018,Taiwan,33.457
2019,Taiwan,34.054
2020,Taiwan,34.508
2021,Taiwan,34.756
2022,Taiwan,34.99
2023,Taiwan,35.306999999999995
2024,Taiwan,35.693000000000005
2025,Taiwan,36.13
2026,Taiwan,36.605
2027,Taiwan,37.115
2028,Taiwan,37.667
2029,Taiwan,38.285
2030,Taiwan,39.025
2018,Cambodia,5.5120000000000005
2019,Cambodia,5.606
2020,Cambodia,5.702000000000001
2021,Cambodia,5.801
2022,Cambodia,5.903
2023,Cambodia,6.006
2024,Cambodia,6.1129999999999995
2025,Cambodia,6.222
2026,Cambodia,6.334
2027,Cambodia,6.449
2028,Cambodia,6.566
2029,Cambodia,6.687
2030,Cambodia,6.81
2018,Indonesia,15.914000000000001
2019,Indonesia,16.477
2020,Indonesia,17.057000000000002
2021,Indonesia,17.655
2022,Indonesia,18.269000000000002
2023,Indonesia,18.9
2024,Indonesia,19.547
2025,Indonesia,20.21
2026,Indonesia,20.889
2027,Indonesia,21.584
2028,Indonesia,22.294
2029,Indonesia,23.02
2030,Indonesia,23.761999999999997
2018,Laos,7.511
2019,Laos,7.76
2020,Laos,8.017999999999999
2021,Laos,8.285
2022,Laos,8.561
2023,Laos,8.846
2024,Laos,9.141
2025,Laos,9.446
2026,Laos,9.76
2027,Laos,10.085
2028,Laos,10.42
2029,Laos,10.765999999999998
2030,Laos,11.123
2018,Malaysia,28.088
2019,Malaysia,28.728
2020,Malaysia,29.381
2021,Malaysia,30.052
2022,Malaysia,30.729
2023,Malaysia,31.41
2024,Malaysia,32.094
2025,Malaysia,32.782
2026,Malaysia,33.471
2027,Malaysia,34.164
2028,Malaysia,34.864000000000004
2029,Malaysia,35.571999999999996
2030,Malaysia,36.288000000000004
2018,Maldives,15.147
2019,Maldives,15.929
2020,Maldives,16.743
2021,Maldives,17.587
2022,Maldives,18.461
2023,Maldives,19.37
2024,Maldives,20.312
2025,Maldives,21.288
2026,Maldives,22.299
2027,Maldives,23.343000000000004
2028,Maldives,24.419
2029,Maldives,25.525
2030,Maldives,26.66
2018,Myanmar,10.585
2019,Myanmar,11.027999999999999
2020,Myanmar,11.488
2021,Myanmar,11.966
2022,Myanmar,12.462
2023,Myanmar,12.977
2024,Myanmar,13.511
2025,Myanmar,14.064
2026,Myanmar,14.636
2027,Myanmar,15.227
2028,Myanmar,15.838
2029,Myanmar,16.469
2030,Myanmar,17.12
2018,Philippines,9.61
2019,Philippines,9.916
2020,Philippines,10.234
2021,Philippines,10.564
2022,Philippines,10.902999999999999
2023,Philippines,11.253
2024,Philippines,11.613
2025,Philippines,11.982000000000001
2026,Philippines,12.362
2027,Philippines,12.752
2028,Philippines,13.154000000000002
2029,Philippines,13.567
2030,Philippines,13.993
2018,Sri Lanka,16.788
2019,Sri Lanka,17.293
2020,Sri Lanka,17.811
2021,Sri Lanka,18.343
2022,Sri Lanka,18.887999999999998
2023,Sri Lanka,19.447
2024,Sri Lanka,20.019000000000002
2025,Sri Lanka,20.604
2026,Sri Lanka,21.203000000000003
2027,Sri Lanka,21.815
2028,Sri Lanka,22.44
2029,Sri Lanka,23.076999999999998
2030,Sri Lanka,23.726999999999997
2018,Thailand,20.509
2019,Thailand,21.151
2020,Thailand,21.809
2021,Thailand,22.483
2022,Thailand,23.171
2023,Thailand,23.875
2024,Thailand,24.593000000000004
2025,Thailand,25.326
2026,Thailand,26.074
2027,Thailand,26.834
2028,Thailand,27.608
2029,Thailand,28.395
2030,Thailand,29.193
2018,Timor-Leste,11.845
2019,Timor-Leste,12.104000000000001
2020,Timor-Leste,12.369000000000002
2021,Timor-Leste,12.64
2022,Timor-Leste,12.918
2023,Timor-Leste,13.203
2024,Timor-Leste,13.494000000000002
2025,Timor-Leste,13.792
2026,Timor-Leste,14.095999999999998
2027,Timor-Leste,14.407
2028,Timor-Leste,14.724
2029,Timor-Leste,15.049000000000001
2030,Timor-Leste,15.38
2018,Vietnam,11.47
2019,Vietnam,12.001
2020,Vietnam,12.554
2021,Vietnam,13.13
2022,Vietnam,13.728
2023,Vietnam,14.35
2024,Vietnam,14.995
2025,Vietnam,15.665
2026,Vietnam,16.359
2027,Vietnam,17.078
2028,Vietnam,17.820999999999998
2029,Vietnam,18.589000000000002
2030,Vietnam,19.382
2018,Fiji,22.72
2019,Fiji,23.075
2020,Fiji,23.436
2021,Fiji,23.801
2022,Fiji,24.171999999999997
2023,Fiji,24.548000000000002
2024,Fiji,24.929000000000002
2025,Fiji,25.316
2026,Fiji,25.706999999999997
2027,Fiji,26.103
2028,Fiji,26.504
2029,Fiji,26.908
2030,Fiji,27.316999999999997
2018,Kiribati,12.158
2019,Kiribati,12.373
2020,Kiribati,12.593
2021,Kiribati,12.819
2022,Kiribati,13.047
2023,Kiribati,13.28
2024,Kiribati,13.517999999999999
2025,Kiribati,13.761
2026,Kiribati,14.009
2027,Kiribati,14.263
2028,Kiribati,14.522
2029,Kiribati,14.787
2030,Kiribati,15.057
2018,Marshall Islands,13.591
2019,Marshall Islands,13.870999999999999
2020,Marshall Islands,14.158
2021,Marshall Islands,14.450999999999999
2022,Marshall Islands,14.745999999999999
2023,Marshall Islands,15.047
2024,Marshall Islands,15.356
2025,Marshall Islands,15.671
2026,Marshall Islands,15.992
2027,Marshall Islands,16.320999999999998
2028,Marshall Islands,16.656
2029,Marshall Islands,16.998
2030,Marshall Islands,17.347
2018,Federated States of Micronesia,15.147
2019,Federated States of Micronesia,15.337
2020,Federated States of Micronesia,15.530999999999999
2021,Federated States of Micronesia,15.73
2022,Federated States of Micronesia,15.932
2023,Federated States of Micronesia,16.137
2024,Federated States of Micronesia,16.346
2025,Federated States of Micronesia,16.56
2026,Federated States of Micronesia,16.777
2027,Federated States of Micronesia,16.998
2028,Federated States of Micronesia,17.223
2029,Federated States of Micronesia,17.452
2030,Federated States of Micronesia,17.685
2018,Papua New Guinea,10.076
2019,Papua New Guinea,10.211
2020,Papua New Guinea,10.349
2021,Papua New Guinea,10.49
2022,Papua New Guinea,10.635
2023,Papua New Guinea,10.783
2024,Papua New Guinea,10.934000000000001
